# Sampling period, Ts = 5e-06 s, Total time = 0 to 5e-03 s 
# t(s) 	 x(t) 	 y(t)
0.0000e+00	1.0000e+00	7.0711e-01
5.0000e-06	8.0902e-01	1.5643e-01
1.0000e-05	3.0902e-01	-4.5399e-01
1.5000e-05	-3.0902e-01	-8.9101e-01
2.0000e-05	-8.0902e-01	-9.8769e-01
2.5000e-05	-1.0000e+00	-7.0711e-01
3.0000e-05	-8.0902e-01	-1.5643e-01
3.5000e-05	-3.0902e-01	4.5399e-01
4.0000e-05	3.0902e-01	8.9101e-01
4.5000e-05	8.0902e-01	9.8769e-01
5.0000e-05	1.0000e+00	7.0711e-01
5.5000e-05	8.0902e-01	1.5643e-01
6.0000e-05	3.0902e-01	-4.5399e-01
6.5000e-05	-3.0902e-01	-8.9101e-01
7.0000e-05	-8.0902e-01	-9.8769e-01
7.5000e-05	-1.0000e+00	-7.0711e-01
8.0000e-05	-8.0902e-01	-1.5643e-01
8.5000e-05	-3.0902e-01	4.5399e-01
9.0000e-05	3.0902e-01	8.9101e-01
9.5000e-05	8.0902e-01	9.8769e-01
1.0000e-04	1.0000e+00	7.0711e-01
1.0500e-04	8.0902e-01	1.5643e-01
1.1000e-04	3.0902e-01	-4.5399e-01
1.1500e-04	-3.0902e-01	-8.9101e-01
1.2000e-04	-8.0902e-01	-9.8769e-01
1.2500e-04	-1.0000e+00	-7.0711e-01
1.3000e-04	-8.0902e-01	-1.5643e-01
1.3500e-04	-3.0902e-01	4.5399e-01
1.4000e-04	3.0902e-01	8.9101e-01
1.4500e-04	8.0902e-01	9.8769e-01
1.5000e-04	1.0000e+00	7.0711e-01
1.5500e-04	8.0902e-01	1.5643e-01
1.6000e-04	3.0902e-01	-4.5399e-01
1.6500e-04	-3.0902e-01	-8.9101e-01
1.7000e-04	-8.0902e-01	-9.8769e-01
1.7500e-04	-1.0000e+00	-7.0711e-01
1.8000e-04	-8.0902e-01	-1.5643e-01
1.8500e-04	-3.0902e-01	4.5399e-01
1.9000e-04	3.0902e-01	8.9101e-01
1.9500e-04	8.0902e-01	9.8769e-01
2.0000e-04	1.0000e+00	7.0711e-01
2.0500e-04	8.0902e-01	1.5643e-01
2.1000e-04	3.0902e-01	-4.5399e-01
2.1500e-04	-3.0902e-01	-8.9101e-01
2.2000e-04	-8.0902e-01	-9.8769e-01
2.2500e-04	-1.0000e+00	-7.0711e-01
2.3000e-04	-8.0902e-01	-1.5643e-01
2.3500e-04	-3.0902e-01	4.5399e-01
2.4000e-04	3.0902e-01	8.9101e-01
2.4500e-04	8.0902e-01	9.8769e-01
2.5000e-04	1.0000e+00	7.0711e-01
2.5500e-04	8.0902e-01	1.5643e-01
2.6000e-04	3.0902e-01	-4.5399e-01
2.6500e-04	-3.0902e-01	-8.9101e-01
2.7000e-04	-8.0902e-01	-9.8769e-01
2.7500e-04	-1.0000e+00	-7.0711e-01
2.8000e-04	-8.0902e-01	-1.5643e-01
2.8500e-04	-3.0902e-01	4.5399e-01
2.9000e-04	3.0902e-01	8.9101e-01
2.9500e-04	8.0902e-01	9.8769e-01
3.0000e-04	1.0000e+00	7.0711e-01
3.0500e-04	8.0902e-01	1.5643e-01
3.1000e-04	3.0902e-01	-4.5399e-01
3.1500e-04	-3.0902e-01	-8.9101e-01
3.2000e-04	-8.0902e-01	-9.8769e-01
3.2500e-04	-1.0000e+00	-7.0711e-01
3.3000e-04	-8.0902e-01	-1.5643e-01
3.3500e-04	-3.0902e-01	4.5399e-01
3.4000e-04	3.0902e-01	8.9101e-01
3.4500e-04	8.0902e-01	9.8769e-01
3.5000e-04	1.0000e+00	7.0711e-01
3.5500e-04	8.0902e-01	1.5643e-01
